"File","Message"
"controllerAttendee.js","All tickets for this booking are already checked in"
"controllerAttendee.js","Attendees already created for this transaction"
"controllerAttendee.js","Booking is not paid"
"controllerAttendee.js","Booking not found"
"controllerAttendee.js","entityId is required for User profile scans"
"controllerAttendee.js","Event or Course not found"
"controllerAttendee.js","eventId or courseId is required for User profile scans"
"controllerAttendee.js","Individual ticket not found"
"controllerAttendee.js","No available attendee found to check-in"
"controllerAttendee.js","No paid booking found for this user"
"controllerAttendee.js","This booking does not belong to the selected event/course"
"controllerAttendee.js","This specific ticket has already been scanned and checked in"
"controllerAttendee.js","This ticket does not belong to the selected course"
"controllerAttendee.js","This ticket does not belong to the selected event"
"controllerAttendee.js","This ticket does not belong to the selected event/course"
"controllerAttendee.js","Ticket code or QR code is required"
"controllerAttendee.js","Ticket not found for this sub-booking ID"
"controllerAttendee.js","Ticket verification result"
"controllerAttendee.js","Ticket verified successfully"
"controllerAttendee.js","Transaction is not PAID"
"controllerAttendee.js","Transaction not found"
"controllerAttendee.js","You are not authorized to check-in attendees for this event/course"
"controllerAttendee.js","You are not authorized to view attendees for this item"
"controllerAttendee.js","You are not authorized to view this ticket"
"controllerBanner.js","Active banners fetched successfully"
"controllerBanner.js","Banner created successfully"
"controllerBanner.js","Banner deleted successfully"
"controllerBanner.js","Banner not found"
"controllerBanner.js","Banner status toggled successfully"
"controllerBanner.js","Banner updated successfully"
"controllerBanner.js","Banners fetched successfully"
"controllerBooking.js","1 Month Pass is not enabled for this class"
"controllerBooking.js","3 Month Pass is not enabled for this class"
"controllerBooking.js","At least one ongoing slot is required"
"controllerBooking.js","At least one ongoing slot or pass selection is required"
"controllerBooking.js","At least one ongoing slot selection is required"
"controllerBooking.js","Booking is closed for this course (cut-off time reached)"
"controllerBooking.js","Cannot adjust reserved seats for a cancelled batch"
"controllerBooking.js","Event is already cancelled"
"controllerBooking.js","Refund preview calculated successfully"
"controllerBooking.js","Reserved seats updated successfully"
"controllerBooking.js","This specific date is already cancelled for this batch"
"controllerBooking.js","You are not authorized to edit this course"
"controllerBooking.js","You don't have permission to view this course's attendees"
"controllerBooking.js","You don't have permission to view this event's attendees"
"controllerBooking.js","You don't have permission to view this event's statistics"
"controllerComment.js","Comment updated successfully"
"controllerComment.js","Comments fetched successfully"
"controllerComment.js","Invalid entity model"
"controllerComment.js","Parent comment not found"
